deviceID,datetime,pm25,pm10,aqi,co2,voc,temp,humidity,battery,viral_index
1202240009,19-04-2024 19:19,26,76,76,728,442,29.1,48,4,87
1202240008,19-04-2024 19:19,25,69,69,863,526,30.9,47,5,83
1201240074,19-04-2024 19:19,83,177,177,596,1094,30.4,44,5,78
1202240028,19-04-2024 19:19,20,62,62,407,251,33.5,30,5,84
1202240012,19-04-2024 19:20,21,66,66,405,200,36.6,26,5,79
1202240010,19-04-2024 19:20,18,57,57,410,0,29,35,5,92
1201240075,19-04-2024 19:20,5,11,11,913,456,22.9,45,5,83
1201240078,19-04-2024 19:20,3,5,5,893,243,22.2,46,4,83
1202240026,19-04-2024 19:20,22,62,62,720,86,25.1,51,5,88
1202240025,19-04-2024 19:20,25,71,71,530,0,26.3,44,5,93
1201240077,19-04-2024 19:20,27,85,85,415,259,32.7,29,4,84
1201240072,19-04-2024 19:20,25,76,76,420,913,33.4,28,5,82
1201240079,19-04-2024 19:20,17,44,44,1097,764,30.8,48,5,77
1201240085,19-04-2024 19:20,18,44,44,1290,1232,30.9,47,5,70
1201240076,19-04-2024 19:20,42,112,108,431,222,31.5,38,5,90
1212230160,19-04-2024 19:20,39,102,101,445,210,29.6,42,5,91
1202240009,19-04-2024 19:20,27,78,78,712,401,29.1,48,4,88
1202240008,19-04-2024 19:20,26,71,71,836,494,30.9,47,5,84
1201240074,19-04-2024 19:20,81,174,170,595,1048,30.4,44,5,78
1202240028,19-04-2024 19:20,18,57,57,406,258,33.4,30,5,84
1202240012,19-04-2024 19:21,22,71,71,404,201,36.6,26,5,79
1202240010,19-04-2024 19:21,18,55,55,410,0,29.1,35,5,92
1201240075,19-04-2024 19:21,5,11,11,898,446,22.9,45,5,83
1201240078,19-04-2024 19:21,5,11,11,895,242,22.2,46,4,83
1202240026,19-04-2024 19:21,22,62,62,718,84,25.1,51,5,88
1202240025,19-04-2024 19:21,24,69,69,527,0,26.2,44,5,93
1201240077,19-04-2024 19:21,27,85,85,417,264,32.8,29,4,84
1201240079,19-04-2024 19:21,18,49,49,1121,792,30.8,48,5,76
1201240085,19-04-2024 19:21,20,49,49,1302,1226,31,47,5,69
1201240076,19-04-2024 19:21,41,109,106,432,223,31.5,38,5,90
1212230160,19-04-2024 19:21,41,109,106,441,211,29.6,42,5,90
1202240009,19-04-2024 19:21,27,81,81,674,347,29.1,47,4,89
1202240008,19-04-2024 19:21,26,71,71,807,461,30.9,47,5,85
1201240074,19-04-2024 19:21,73,168,145,586,1028,30.4,44,5,80
1202240028,19-04-2024 19:21,20,62,62,402,260,33.4,30,5,84
1202240012,19-04-2024 19:22,23,71,71,407,205,36.6,26,5,79
1202240010,19-04-2024 19:22,18,55,55,411,0,29,35,5,92
1201240075,19-04-2024 19:22,5,11,11,896,458,22.9,45,5,83
1201240078,19-04-2024 19:22,5,11,11,892,238,22.2,46,4,83
1202240026,19-04-2024 19:22,21,62,62,718,80,25.1,51,5,88
1202240025,19-04-2024 19:22,24,69,69,527,0,26.2,44,5,93
1201240077,19-04-2024 19:22,27,83,83,418,288,32.8,30,4,84
1201240072,19-04-2024 19:22,25,74,74,421,944,33.4,28,5,82
1201240079,19-04-2024 19:22,19,49,49,1138,814,30.8,48,5,75
1201240085,19-04-2024 19:22,20,55,55,1318,1252,31,48,5,68
1201240076,19-04-2024 19:22,44,116,111,433,229,31.5,38,5,89
1212230160,19-04-2024 19:22,41,112,108,440,210,29.6,42,5,90
1202240009,19-04-2024 19:22,27,76,76,670,394,29.2,47,4,89
1202240008,19-04-2024 19:22,28,78,78,777,415,31,46,5,86
1201240074,19-04-2024 19:22,72,168,145,580,1011,30.3,44,5,80
1202240028,19-04-2024 19:22,21,64,64,407,253,33.4,30,5,84
1202240012,19-04-2024 19:23,23,74,74,405,202,36.6,26,5,79
1202240010,19-04-2024 19:23,18,55,55,410,0,29,35,5,92
1201240075,19-04-2024 19:23,5,11,11,895,472,22.9,45,5,83
1201240078,19-04-2024 19:23,5,11,11,891,243,22.1,46,4,83
1202240026,19-04-2024 19:23,22,64,64,715,83,25.2,51,5,88
1202240025,19-04-2024 19:23,26,76,76,527,0,26.2,45,5,93
1201240072,19-04-2024 19:23,25,74,74,451,963,33.4,29,5,84
1201240079,19-04-2024 19:23,17,44,44,1150,834,30.9,48,5,75
1201240085,19-04-2024 19:23,18,44,44,1345,1296,31,48,5,67
1201240076,19-04-2024 19:23,48,123,115,433,199,31.5,38,5,88
1212230160,19-04-2024 19:23,41,112,108,440,213,29.6,42,5,90
1202240009,19-04-2024 19:23,27,81,81,671,352,29.2,47,4,89
1202240008,19-04-2024 19:23,30,83,83,750,383,30.9,46,5,86
1201240074,19-04-2024 19:23,69,165,143,583,1002,30.3,44,5,81
1202240028,19-04-2024 19:23,20,62,62,407,261,33.4,30,5,84
1202240012,19-04-2024 19:24,22,69,69,405,205,36.6,26,5,79
1202240010,19-04-2024 19:24,18,57,57,410,0,29,35,5,92
1201240075,19-04-2024 19:24,5,11,11,896,465,22.8,45,5,83
1201240078,19-04-2024 19:24,3,11,11,889,238,22.1,46,4,83
1202240026,19-04-2024 19:24,22,62,62,716,81,25.2,51,5,88
1202240025,19-04-2024 19:24,26,78,78,530,0,26.3,45,5,93
1201240077,19-04-2024 19:23,28,88,88,424,293,32.7,29,4,84
1201240072,19-04-2024 19:24,26,78,78,451,976,33.3,29,5,84
1201240079,19-04-2024 19:24,17,49,49,1160,844,30.9,48,5,75
1201240085,19-04-2024 19:24,16,44,44,1378,1319,31,48,5,65
1201240076,19-04-2024 19:24,47,121,114,435,216,31.5,38,5,88
1212230160,19-04-2024 19:24,43,114,109,442,215,29.6,42,5,90
1202240009,19-04-2024 19:24,27,81,81,669,403,29.3,47,4,89
1202240008,19-04-2024 19:24,27,78,78,745,372,30.8,47,5,87
1201240074,19-04-2024 19:24,70,165,143,581,987,30.2,44,5,81
1202240028,19-04-2024 19:24,21,64,64,415,248,33.4,30,5,84
1202240012,19-04-2024 19:25,22,71,71,405,208,36.6,26,5,79
1202240010,19-04-2024 19:25,18,55,55,412,0,29,35,5,92
1201240075,19-04-2024 19:25,5,11,11,891,460,22.8,45,5,83
1201240078,19-04-2024 19:25,5,11,11,889,244,22.1,46,4,83
1202240026,19-04-2024 19:25,22,62,62,715,82,25.1,51,5,88
1202240025,19-04-2024 19:25,27,81,81,530,0,26.2,45,5,92
1201240077,19-04-2024 19:25,30,95,95,419,317,32.7,29,4,83
1201240072,19-04-2024 19:25,27,81,81,450,1011,33.3,29,5,84
1201240079,19-04-2024 19:25,19,49,49,1182,884,30.9,48,5,74
1201240085,19-04-2024 19:25,18,49,49,1402,1344,30.9,48,5,64
1201240076,19-04-2024 19:25,49,126,117,436,191,31.6,38,5,87
1212230160,19-04-2024 19:25,42,114,109,444,219,29.6,42,5,90
1202240009,19-04-2024 19:25,27,78,78,713,446,29.2,47,4,87
1202240008,19-04-2024 19:25,29,78,78,738,374,30.6,47,5,87
1201240074,19-04-2024 19:25,68,164,143,581,980,30.2,44,5,81
1202240028,19-04-2024 19:26,20,62,62,407,253,33.4,30,5,84
1202240012,19-04-2024 19:26,25,81,81,405,204,36.6,26,5,78
1202240010,19-04-2024 19:26,18,57,57,413,0,29,35,5,92
1201240075,19-04-2024 19:26,5,11,11,891,488,22.9,45,5,83
1201240078,19-04-2024 19:26,5,11,11,886,237,22.1,46,4,83
1202240026,19-04-2024 19:26,22,62,62,715,84,25.2,51,5,88
1202240025,19-04-2024 19:26,27,81,81,532,0,26.2,45,5,92
1201240079,19-04-2024 19:26,17,44,44,1187,896,30.9,48,5,74
1201240085,19-04-2024 19:26,18,44,44,1410,1310,31,48,5,64
1201240076,19-04-2024 19:26,49,128,119,435,176,31.5,38,5,87
1212230160,19-04-2024 19:26,41,107,105,457,215,29.6,42,5,90
1202240009,19-04-2024 19:26,27,81,81,730,460,29.2,47,4,87
1202240008,19-04-2024 19:26,28,78,78,734,372,30.5,48,5,87
1202240028,19-04-2024 19:27,22,66,66,406,260,33.4,30,5,84
1202240012,19-04-2024 19:27,22,71,71,406,204,36.6,26,5,79
1202240010,19-04-2024 19:27,18,55,55,413,0,29,35,5,92
1201240075,19-04-2024 19:27,5,11,11,890,474,22.9,45,5,83
1201240078,19-04-2024 19:27,5,11,11,883,237,22.1,46,4,83
1202240026,19-04-2024 19:27,21,62,62,716,79,25.2,51,5,88
1202240025,19-04-2024 19:27,26,74,74,535,0,26.2,45,5,93
1201240077,19-04-2024 19:26,27,88,88,426,316,32.8,29,4,84
1201240072,19-04-2024 19:27,27,81,81,455,1014,33.3,29,5,84
1201240079,19-04-2024 19:27,18,49,49,1198,913,30.9,48,5,73
1201240085,19-04-2024 19:27,18,44,44,1415,1332,30.9,48,5,63
1201240076,19-04-2024 19:27,50,128,119,435,178,31.6,38,5,87
1212230160,19-04-2024 19:27,41,109,106,470,225,29.6,42,5,90
1202240009,19-04-2024 19:27,29,83,83,749,477,29.2,48,4,86
1202240008,19-04-2024 19:27,28,78,78,738,409,30.4,48,5,87
1201240074,19-04-2024 19:26,67,164,143,580,968,30.2,44,5,82
1202240028,19-04-2024 19:28,21,64,64,405,257,33.5,30,5,84
1202240012,19-04-2024 19:28,23,78,78,404,210,36.6,26,5,79
1202240010,19-04-2024 19:28,18,55,55,414,0,29,35,5,92
1201240078,19-04-2024 19:28,5,11,11,884,240,22.1,46,4,83
1202240026,19-04-2024 19:28,21,59,59,717,84,25.2,51,5,88
1202240025,19-04-2024 19:28,26,74,74,535,0,26.2,45,5,93
1201240077,19-04-2024 19:27,27,81,81,436,305,32.7,29,4,84
1201240072,19-04-2024 19:28,27,78,78,457,1013,33.3,29,5,84
1201240079,19-04-2024 19:28,17,44,44,1209,911,30.9,48,5,73
1201240085,19-04-2024 19:28,18,44,44,1416,1350,30.9,48,5,63
1201240076,19-04-2024 19:28,47,123,115,434,189,31.6,38,5,88
1212230160,19-04-2024 19:28,41,107,105,468,203,29.6,42,5,90
1202240009,19-04-2024 19:28,29,85,85,760,499,29.2,48,4,86
1202240008,19-04-2024 19:28,27,76,76,751,426,30.3,49,5,86
1201240074,19-04-2024 19:27,67,164,143,581,971,30.2,44,5,82
1202240028,19-04-2024 19:29,21,66,66,422,260,33.4,30,5,84
1202240012,19-04-2024 19:29,24,81,81,403,212,36.6,26,5,78
1202240010,19-04-2024 19:29,18,55,55,414,0,29,35,5,92
1201240075,19-04-2024 19:28,5,11,11,889,455,22.9,45,5,83
1201240078,19-04-2024 19:29,5,11,11,885,234,22.1,46,4,83
1202240026,19-04-2024 19:29,22,62,62,717,83,25.2,51,5,88
1202240025,19-04-2024 19:29,26,76,76,531,0,26.3,45,5,93
1201240077,19-04-2024 19:29,28,88,88,437,307,32.7,30,4,84
1201240072,19-04-2024 19:29,27,83,83,463,1049,33.4,29,5,83
1201240079,19-04-2024 19:29,18,49,49,1213,902,30.9,48,5,73
1201240085,19-04-2024 19:29,18,44,44,1430,1367,30.9,48,5,63
1201240076,19-04-2024 19:29,48,123,115,433,190,31.5,38,5,88
1212230160,19-04-2024 19:29,42,114,109,470,206,29.7,42,5,90
1202240009,19-04-2024 19:29,29,83,83,764,525,29.1,48,4,86
1202240008,19-04-2024 19:29,30,78,78,765,469,30.2,49,5,86
1201240074,19-04-2024 19:28,66,161,141,584,951,30.1,44,5,82
1202240012,19-04-2024 19:30,21,69,69,405,208,36.6,26,5,79
1202240010,19-04-2024 19:30,16,49,49,418,0,29,36,5,93
1201240075,19-04-2024 19:30,5,11,11,882,445,22.8,45,5,84
1201240078,19-04-2024 19:30,5,11,11,880,238,22.1,46,4,84
1202240026,19-04-2024 19:30,22,62,62,715,81,25.2,51,5,88
1202240025,19-04-2024 19:30,26,74,74,532,0,26.2,45,5,93
1201240077,19-04-2024 19:30,29,93,93,436,297,32.8,29,4,83
1201240072,19-04-2024 19:30,27,81,81,465,1068,33.4,29,5,83
1201240079,19-04-2024 19:30,17,44,44,1215,907,30.9,48,5,73
1201240085,19-04-2024 19:30,20,49,49,1429,1357,30.9,48,5,63
1201240076,19-04-2024 19:30,47,121,114,434,261,31.5,38,5,88
1212230160,19-04-2024 19:30,44,119,113,468,196,29.7,42,5,89
1202240009,19-04-2024 19:30,27,81,81,769,552,29.1,48,4,86
1202240008,19-04-2024 19:30,30,81,81,785,516,30.1,50,5,85
1201240074,19-04-2024 19:29,65,161,141,562,953,30.1,44,5,82
1202240028,19-04-2024 19:30,22,66,66,415,259,33.5,30,5,84
1202240012,19-04-2024 19:31,24,76,76,405,206,36.6,26,5,78
